"season","player_id","first_name","last_name","primary_position","hit_count"
"2010",8471426,"Troy","Brouwer","RW",272
"2010",8471428,"Pierre-Luc","Letourneau-Leblond","RW",3
"2010",8471429,"Tyler","Eckford","D",3
"2010",8471436,"Matt","Hunwick","D",63
"2010",8471450,"Brandon","Yip","RW",72
"2010",8471451,"Aaron","Gagnon","C",12
"2010",8471474,"Travis","Morin","C",1
"2010",8471476,"Daniel","Winnik","LW",51
"2010",8471482,"Grant","Clitsome","D",67
"2010",8471483,"Kyle","Wilson","C",21
"2010",8471490,"Adam","Cracknell","RW",28
"2010",8471498,"Jannik","Hansen","RW",186
"2010",8471504,"Rene","Bourque","RW",88
"2010",8471508,"Olivier","Magnan","D",28
"2010",8471514,"Rich","Peverley","C",45
"2010",8471521,"Brad","Staubitz","RW",131
"2010",8471628,"Rick","Rypien","C",13
"2010",8471634,"Ryan","Shannon","RW",33
"2010",8471636,"Tim","Sestito","LW",76
"2010",8471657,"Cody","McLeod","LW",140
"2010",8471663,"Mike","Blunden","RW",6
"2010",8471664,"Mason","Raymond","LW",56
"2010",8471668,"Mattias","Ritola","C",24
"2010",8471669,"Paul","Stastny","C",71
"2010",8471670,"Guillaume","Latendresse","LW",18
"2010",8471675,"Sidney","Crosby","C",29
"2010",8471676,"Bobby","Ryan","RW",157
"2010",8471677,"Jack","Johnson","D",86
"2010",8471678,"Benoit","Pouliot","LW",110
"2010",8471680,"Gilbert","Brule","C",95
"2010",8471681,"Jack","Skille","RW",125
"2010",8471682,"Devin","Setoguchi","RW",175
"2010",8471683,"Brian","Lee","D",88
"2010",8471685,"Anze","Kopitar","C",92
"2010",8471686,"Marc","Staal","D",146
"2010",8471689,"Ryan","O'Marra","C",40
"2010",8471691,"Martin","Hanzal","C",158
"2010",8471692,"Ryan","Parent","D",4
"2010",8471693,"Jakub","Kindl","D",44
"2010",8471694,"Kenndal","McArdle","LW",36
"2010",8471696,"Matt","Lashoff","D",10
"2010",8471697,"Niclas","Bergfors","RW",12
"2010",8471698,"T.J.","Oshie","RW",68
"2010",8471699,"Andrew","Cogliano","LW",87
"2010",8471702,"Matt","Niskanen","D",127
"2010",8471703,"Steve","Downie","RW",125
"2010",8471705,"Brendan","Mikkelson","D",21
"2010",8471707,"James","Neal","LW",166
"2010",8471708,"Ryan","Stoa","C",26
"2010",8471709,"Marc-Edouard","Vlasic","D",70
"2010",8471710,"Taylor","Chorney","D",13
"2010",8471714,"Michael","Sauer","D",84
"2010",8471716,"Justin","Abdelkader","LW",209
"2010",8471717,"Adam","McQuaid","D",130
"2010",8471719,"Matt","Kassian","LW",6
"2010",8471724,"Kris","Letang","D",183
"2010",8471728,"Brodie","Dupont","LW",2
"2010",8471729,"Kris","Russell","D",63
"2010",8471730,"Evan","Brophey","C",3
"2010",8471735,"Keith","Yandle","D",31
"2010",8471741,"Teemu","Laakso","D",1
"2010",8471742,"Cody","Franson","D",87
"2010",8471743,"Vladimir","Sobotka","LW",134
"2010",8471748,"Mark","Fraser","D",58
"2010",8471752,"Marc-Andre","Gragnani","D",14
"2010",8471753,"T.J.","Hensick","C",1
"2010",8471756,"Oskars","Bartulis","D",7
"2010",8471760,"Cody","Bass","C",3
"2010",8471761,"Chris","Butler","D",49
"2010",8471762,"Chris","VandeVelde","C",17
"2010",8471766,"Jared","Boll","RW",142
"2010",8471767,"Blair","Jones","C",26
"2010",8471768,"Tom","Pyatt","LW",40
"2010",8471769,"Niklas","Hjalmarsson","D",51
"2010",8471786,"Ray","Macias","D",1
"2010",8471794,"Darren","Helm","LW",150
"2010",8471804,"Nathan","Gerbe","C",73
